geography,id,name,value,source,control_size,countycomb_label
TAZ,27,hh_inc_100_plus,1,Difference,38,NA
TAZ,27,hh_child,-8,Difference,1163,NA
TAZ,27,hh_no_child,-1,Difference,38,NA
TAZ,28,num_hh,1131,Control,1131,NA
TAZ,28,hh_inc_30,715,Control,715,NA
TAZ,28,hh_inc_30_60,229,Control,229,NA
TAZ,28,hh_inc_60_100,85,Control,85,NA
TAZ,28,hh_inc_100_plus,63,Control,63,NA
TAZ,28,hh_child,1100,Control,1100,NA
TAZ,28,hh_no_child,31,Control,31,NA
TAZ,28,num_hh,1131,Result,1131,NA
TAZ,28,hh_inc_30,735,Result,715,NA
TAZ,28,hh_inc_30_60,234,Result,229,NA
TAZ,28,hh_inc_60_100,87,Result,85,NA
TAZ,28,hh_inc_100_plus,65,Result,63,NA
TAZ,28,hh_child,1091,Result,1100,NA
TAZ,28,hh_no_child,30,Result,31,NA
TAZ,28,num_hh,0,Difference,1131,NA
TAZ,28,hh_inc_30,20,Difference,715,NA
TAZ,28,hh_inc_30_60,5,Difference,229,NA
TAZ,28,hh_inc_60_100,2,Difference,85,NA
TAZ,28,hh_inc_100_plus,2,Difference,63,NA
TAZ,28,hh_child,-9,Difference,1100,NA
TAZ,28,hh_no_child,-1,Difference,31,NA
TAZ,29,num_hh,1058,Control,1058,NA
TAZ,29,hh_inc_30,537,Control,537,NA
TAZ,29,hh_inc_30_60,202,Control,202,NA
TAZ,29,hh_inc_60_100,85,Control,85,NA
TAZ,29,hh_inc_100_plus,234,Control,234,NA
TAZ,29,hh_child,867,Control,867,NA
TAZ,29,hh_no_child,191,Control,191,NA
TAZ,29,num_hh,1058,Result,1058,NA
TAZ,29,hh_inc_30,537,Result,537,NA
TAZ,29,hh_inc_30_60,201,Result,202,NA
TAZ,29,hh_inc_60_100,85,Result,85,NA
TAZ,29,hh_inc_100_plus,234,Result,234,NA
TAZ,29,hh_child,869,Result,867,NA
TAZ,29,hh_no_child,188,Result,191,NA
TAZ,29,num_hh,0,Difference,1058,NA
TAZ,29,hh_inc_30,0,Difference,537,NA
TAZ,29,hh_inc_30_60,-1,Difference,202,NA
TAZ,29,hh_inc_60_100,0,Difference,85,NA
TAZ,29,hh_inc_100_plus,0,Difference,234,NA
TAZ,29,hh_child,2,Difference,867,NA
TAZ,29,hh_no_child,-3,Difference,191,NA
TAZ,30,num_hh,1495,Control,1495,NA
TAZ,30,hh_inc_30,112,Control,112,NA
TAZ,30,hh_inc_30_60,126,Control,126,NA
TAZ,30,hh_inc_60_100,0,Control,0,NA
TAZ,30,hh_inc_100_plus,1010,Control,1010,NA
TAZ,30,hh_child,1336,Control,1336,NA
TAZ,30,hh_no_child,159,Control,159,NA
TAZ,30,num_hh,1495,Result,1495,NA
TAZ,30,hh_inc_30,125,Result,112,NA
TAZ,30,hh_inc_30_60,140,Result,126,NA
TAZ,30,hh_inc_60_100,0,Result,0,NA
TAZ,30,hh_inc_100_plus,1122,Result,1010,NA
TAZ,30,hh_child,1241,Result,1336,NA
TAZ,30,hh_no_child,146,Result,159,NA
TAZ,30,num_hh,0,Difference,1495,NA
TAZ,30,hh_inc_30,13,Difference,112,NA
TAZ,30,hh_inc_30_60,14,Difference,126,NA
TAZ,30,hh_inc_60_100,0,Difference,0,NA
TAZ,30,hh_inc_100_plus,112,Difference,1010,NA
TAZ,30,hh_child,-95,Difference,1336,NA
TAZ,30,hh_no_child,-13,Difference,159,NA
TAZ,31,num_hh,758,Control,758,NA
TAZ,31,hh_inc_30,470,Control,470,NA
TAZ,31,hh_inc_30_60,0,Control,0,NA
TAZ,31,hh_inc_60_100,0,Control,0,NA
TAZ,31,hh_inc_100_plus,253,Control,253,NA
TAZ,31,hh_child,699,Control,699,NA
TAZ,31,hh_no_child,59,Control,59,NA
TAZ,31,num_hh,758,Result,758,NA
TAZ,31,hh_inc_30,486,Result,470,NA
TAZ,31,hh_inc_30_60,0,Result,0,NA
TAZ,31,hh_inc_60_100,0,Result,0,NA
TAZ,31,hh_inc_100_plus,263,Result,253,NA
TAZ,31,hh_child,691,Result,699,NA
TAZ,31,hh_no_child,58,Result,59,NA
TAZ,31,num_hh,0,Difference,758,NA
TAZ,31,hh_inc_30,16,Difference,470,NA
TAZ,31,hh_inc_30_60,0,Difference,0,NA
TAZ,31,hh_inc_60_100,0,Difference,0,NA
TAZ,31,hh_inc_100_plus,10,Difference,253,NA
TAZ,31,hh_child,-8,Difference,699,NA
TAZ,31,hh_no_child,-1,Difference,59,NA
TAZ,32,num_hh,1153,Control,1153,NA
TAZ,32,hh_inc_30,146,Control,146,NA
TAZ,32,hh_inc_30_60,0,Control,0,NA
TAZ,32,hh_inc_60_100,0,Control,0,NA
TAZ,32,hh_inc_100_plus,1007,Control,1007,NA
TAZ,32,hh_child,763,Control,763,NA
TAZ,32,hh_no_child,390,Control,390,NA
TAZ,32,num_hh,1153,Result,1153,NA
TAZ,32,hh_inc_30,146,Result,146,NA
TAZ,32,hh_inc_30_60,0,Result,0,NA
TAZ,32,hh_inc_60_100,0,Result,0,NA
TAZ,32,hh_inc_100_plus,1005,Result,1007,NA
TAZ,32,hh_child,766,Result,763,NA
TAZ,32,hh_no_child,385,Result,390,NA
TAZ,32,num_hh,0,Difference,1153,NA
TAZ,32,hh_inc_30,0,Difference,146,NA
TAZ,32,hh_inc_30_60,0,Difference,0,NA
TAZ,32,hh_inc_60_100,0,Difference,0,NA
TAZ,32,hh_inc_100_plus,-2,Difference,1007,NA
TAZ,32,hh_child,3,Difference,763,NA
TAZ,32,hh_no_child,-5,Difference,390,NA
TAZ,33,num_hh,886,Control,886,NA
TAZ,33,hh_inc_30,128,Control,128,NA
TAZ,33,hh_inc_30_60,166,Control,166,NA
TAZ,33,hh_inc_60_100,160,Control,160,NA
TAZ,33,hh_inc_100_plus,312,Control,312,NA
TAZ,33,hh_child,886,Control,886,NA
TAZ,33,hh_no_child,0,Control,0,NA
TAZ,33,num_hh,886,Result,886,NA
TAZ,33,hh_inc_30,140,Result,128,NA
TAZ,33,hh_inc_30_60,180,Result,166,NA
TAZ,33,hh_inc_60_100,173,Result,160,NA
TAZ,33,hh_inc_100_plus,336,Result,312,NA
TAZ,33,hh_child,829,Result,886,NA
TAZ,33,hh_no_child,0,Result,0,NA
TAZ,33,num_hh,0,Difference,886,NA
TAZ,33,hh_inc_30,12,Difference,128,NA
TAZ,33,hh_inc_30_60,14,Difference,166,NA
TAZ,33,hh_inc_60_100,13,Difference,160,NA
TAZ,33,hh_inc_100_plus,24,Difference,312,NA
TAZ,33,hh_child,-57,Difference,886,NA
TAZ,33,hh_no_child,0,Difference,0,NA
TAZ,34,num_hh,1351,Control,1351,NA
TAZ,34,hh_inc_30,225,Control,225,NA
TAZ,34,hh_inc_30_60,190,Control,190,NA
TAZ,34,hh_inc_60_100,171,Control,171,NA
TAZ,34,hh_inc_100_plus,570,Control,570,NA
TAZ,34,hh_child,1235,Control,1235,NA
TAZ,34,hh_no_child,116,Control,116,NA
TAZ,34,num_hh,1351,Result,1351,NA
TAZ,34,hh_inc_30,247,Result,225,NA
TAZ,34,hh_inc_30_60,207,Result,190,NA
TAZ,34,hh_inc_60_100,186,Result,171,NA
TAZ,34,hh_inc_100_plus,617,Result,570,NA
TAZ,34,hh_child,1149,Result,1235,NA
TAZ,34,hh_no_child,108,Result,116,NA
TAZ,34,num_hh,0,Difference,1351,NA
TAZ,34,hh_inc_30,22,Difference,225,NA
TAZ,34,hh_inc_30_60,17,Difference,190,NA
TAZ,34,hh_inc_60_100,15,Difference,171,NA
TAZ,34,hh_inc_100_plus,47,Difference,570,NA
TAZ,34,hh_child,-86,Difference,1235,NA
TAZ,34,hh_no_child,-8,Difference,116,NA
TAZ,35,num_hh,1610,Control,1610,NA
TAZ,35,hh_inc_30,411,Control,411,NA
TAZ,35,hh_inc_30_60,178,Control,178,NA
TAZ,35,hh_inc_60_100,397,Control,397,NA
TAZ,35,hh_inc_100_plus,484,Control,484,NA
TAZ,35,hh_child,1486,Control,1486,NA
TAZ,35,hh_no_child,124,Control,124,NA
TAZ,35,num_hh,1610,Result,1610,NA
TAZ,35,hh_inc_30,437,Result,411,NA
TAZ,35,hh_inc_30_60,188,Result,178,NA
TAZ,35,hh_inc_60_100,419,Result,397,NA
